respondent id,question label,option label,option id,response score,total option score,response time,question id,responses,skipped,question type,poll,poll id
Q3WuSjNhAqrKar342,How do you currently discover and learn about R packages?,"Email lists such as r-help, r-packages, or r-pkg-devel",x9GNqPXecohJc2Cof,1,159.00,Mon Mar 20 2017 00:26:30 GMT-0600 (MDT),vSePaNpDrZHJCmGrA,1042,0,multipleChoice,R Package Discovery,FGZqTL7vpaaCgpWCM
ia7Z3EQyPtTs5Q5C8,How do you currently discover and learn about R packages?,"Email lists such as r-help, r-packages, or r-pkg-devel",x9GNqPXecohJc2Cof,1,159.00,Mon Mar 20 2017 00:30:52 GMT-0600 (MDT),vSePaNpDrZHJCmGrA,1042,0,multipleChoice,R Package Discovery,FGZqTL7vpaaCgpWCM
vcjsTFzxKPMG5P4sZ,How do you currently discover and learn about R packages?,"Email lists such as r-help, r-packages, or r-pkg-devel",x9GNqPXecohJc2Cof,1,159.00,Mon Mar 20 2017 00:40:24 GMT-0600 (MDT),vSePaNpDrZHJCmGrA,1042,0,multipleChoice,R Package Discovery,FGZqTL7vpaaCgpWCM
KKcSrf4WuyZbFTuoJ,How do you currently discover and learn about R packages?,"Email lists such as r-help, r-packages, or r-pkg-devel",x9GNqPXecohJc2Cof,1,159.00,Mon Mar 20 2017 01:04:03 GMT-0600 (MDT),vSePaNpDrZHJCmGrA,1042,0,multipleChoice,R Package Discovery,FGZqTL7vpaaCgpWCM
d79waR32stYW2pk55,How do you currently discover and learn about R packages?,"Email lists such as r-help, r-packages, or r-pkg-devel",x9GNqPXecohJc2Cof,1,159.00,Mon Mar 20 2017 01:45:41 GMT-0600 (MDT),vSePaNpDrZHJCmGrA,1042,0,multipleChoice,R Package Discovery,FGZqTL7vpaaCgpWCM
BAu6smBnc7zQ2LyBq,How do you currently discover and learn about R packages?,"Email lists such as r-help, r-packages, or r-pkg-devel",x9GNqPXecohJc2Cof,1,159.00,Mon Mar 20 2017 02:56:01 GMT-0600 (MDT),vSePaNpDrZHJCmGrA,1042,0,multipleChoice,R Package Discovery,FGZqTL7vpaaCgpWCM
56C5BCaRLmKLvZnNH,How do you currently discover and learn about R packages?,"Email lists such as r-help, r-packages, or r-pkg-devel",x9GNqPXecohJc2Cof,1,159.00,Mon Mar 20 2017 02:57:20 GMT-0600 (MDT),vSePaNpDrZHJCmGrA,1042,0,multipleChoice,R Package Discovery,FGZqTL7vpaaCgpWCM
3nmRRbsSMyQggJeb4,How do you currently discover and learn about R packages?,"Email lists such as r-help, r-packages, or r-pkg-devel",x9GNqPXecohJc2Cof,1,159.00,Mon Mar 20 2017 03:25:52 GMT-0600 (MDT),vSePaNpDrZHJCmGrA,1042,0,multipleChoice,R Package Discovery,FGZqTL7vpaaCgpWCM
tntgGFccFBfjKwjk5,How do you currently discover and learn about R packages?,"Email lists such as r-help, r-packages, or r-pkg-devel",x9GNqPXecohJc2Cof,1,159.00,Mon Mar 20 2017 03:30:40 GMT-0600 (MDT),vSePaNpDrZHJCmGrA,1042,0,multipleChoice,R Package Discovery,FGZqTL7vpaaCgpWCM
aJLBGqfzaWPWuGF7C,How do you currently discover and learn about R packages?,"Email lists such as r-help, r-packages, or r-pkg-devel",x9GNqPXecohJc2Cof,1,159.00,Mon Mar 20 2017 03:47:45 GMT-0600 (MDT),vSePaNpDrZHJCmGrA,1042,0,multipleChoice,R Package Discovery,FGZqTL7vpaaCgpWCM
nGniHS3e3hFwWFArq,How do you currently discover and learn about R packages?,"Email lists such as r-help, r-packages, or r-pkg-devel",x9GNqPXecohJc2Cof,1,159.00,Mon Mar 20 2017 04:06:41 GMT-0600 (MDT),vSePaNpDrZHJCmGrA,1042,0,multipleChoice,R Package Discovery,FGZqTL7vpaaCgpWCM
hD3HoKEPZTDWEKrkM,How do you currently discover and learn about R packages?,"Email lists such as r-help, r-packages, or r-pkg-devel",x9GNqPXecohJc2Cof,1,159.00,Mon Mar 20 2017 04:07:05 GMT-0600 (MDT),vSePaNpDrZHJCmGrA,1042,0,multipleChoice,R Package Discovery,FGZqTL7vpaaCgpWCM
dC62Wr3GBQS8ZPBDh,How do you currently discover and learn about R packages?,"Email lists such as r-help, r-packages, or r-pkg-devel",x9GNqPXecohJc2Cof,1,159.00,Mon Mar 20 2017 04:48:07 GMT-0600 (MDT),vSePaNpDrZHJCmGrA,1042,0,multipleChoice,R Package Discovery,FGZqTL7vpaaCgpWCM
offqLjqckJKF72wNN,How do you currently discover and learn about R packages?,"Email lists such as r-help, r-packages, or r-pkg-devel",x9GNqPXecohJc2Cof,1,159.00,Mon Mar 20 2017 05:02:05 GMT-0600 (MDT),vSePaNpDrZHJCmGrA,1042,0,multipleChoice,R Package Discovery,FGZqTL7vpaaCgpWCM
LRYwYxmaG6xGb8qGG,How do you currently discover and learn about R packages?,"Email lists such as r-help, r-packages, or r-pkg-devel",x9GNqPXecohJc2Cof,1,159.00,Mon Mar 20 2017 05:06:16 GMT-0600 (MDT),vSePaNpDrZHJCmGrA,1042,0,multipleChoice,R Package Discovery,FGZqTL7vpaaCgpWCM
qLHmCTGFtZ8iB4BWS,How do you currently discover and learn about R packages?,"Email lists such as r-help, r-packages, or r-pkg-devel",x9GNqPXecohJc2Cof,1,159.00,Mon Mar 20 2017 05:25:49 GMT-0600 (MDT),vSePaNpDrZHJCmGrA,1042,0,multipleChoice,R Package Discovery,FGZqTL7vpaaCgpWCM
cyvfchWaG64J5z9JP,How do you currently discover and learn about R packages?,"Email lists such as r-help, r-packages, or r-pkg-devel",x9GNqPXecohJc2Cof,1,159.00,Mon Mar 20 2017 05:34:49 GMT-0600 (MDT),vSePaNpDrZHJCmGrA,1042,0,multipleChoice,R Package Discovery,FGZqTL7vpaaCgpWCM
G8z4cxmgcqdQYK4nY,How do you currently discover and learn about R packages?,"Email lists such as r-help, r-packages, or r-pkg-devel",x9GNqPXecohJc2Cof,1,159.00,Mon Mar 20 2017 05:35:18 GMT-0600 (MDT),vSePaNpDrZHJCmGrA,1042,0,multipleChoice,R Package Discovery,FGZqTL7vpaaCgpWCM
uzG39BQfErNRJvwTy,How do you currently discover and learn about R packages?,"Email lists such as r-help, r-packages, or r-pkg-devel",x9GNqPXecohJc2Cof,1,159.00,Mon Mar 20 2017 06:05:09 GMT-0600 (MDT),vSePaNpDrZHJCmGrA,1042,0,multipleChoice,R Package Discovery,FGZqTL7vpaaCgpWCM
baig9BAWzAW2rLeJt,How do you currently discover and learn about R packages?,"Email lists such as r-help, r-packages, or r-pkg-devel",x9GNqPXecohJc2Cof,1,159.00,Mon Mar 20 2017 06:16:05 GMT-0600 (MDT),vSePaNpDrZHJCmGrA,1042,0,multipleChoice,R Package Discovery,FGZqTL7vpaaCgpWCM
69QiSRtQ5jgmG2nXv,How do you currently discover and learn about R packages?,"Email lists such as r-help, r-packages, or r-pkg-devel",x9GNqPXecohJc2Cof,1,159.00,Mon Mar 20 2017 06:58:54 GMT-0600 (MDT),vSePaNpDrZHJCmGrA,1042,0,multipleChoice,R Package Discovery,FGZqTL7vpaaCgpWCM
8PmFjgsyYbnuz2QTr,How do you currently discover and learn about R packages?,"Email lists such as r-help, r-packages, or r-pkg-devel",x9GNqPXecohJc2Cof,1,159.00,Mon Mar 20 2017 07:07:25 GMT-0600 (MDT),vSePaNpDrZHJCmGrA,1042,0,multipleChoice,R Package Discovery,FGZqTL7vpaaCgpWCM
STt8JnGEbtKRxs6yT,How do you currently discover and learn about R packages?,"Email lists such as r-help, r-packages, or r-pkg-devel",x9GNqPXecohJc2Cof,1,159.00,Mon Mar 20 2017 08:13:13 GMT-0600 (MDT),vSePaNpDrZHJCmGrA,1042,0,multipleChoice,R Package Discovery,FGZqTL7vpaaCgpWCM
fxy7NpgveieGxvq3r,How do you currently discover and learn about R packages?,"Email lists such as r-help, r-packages, or r-pkg-devel",x9GNqPXecohJc2Cof,1,159.00,Mon Mar 20 2017 08:24:04 GMT-0600 (MDT),vSePaNpDrZHJCmGrA,1042,0,multipleChoice,R Package Discovery,FGZqTL7vpaaCgpWCM
avAzFNrHRRa2McDaY,How do you currently discover and learn about R packages?,"Email lists such as r-help, r-packages, or r-pkg-devel",x9GNqPXecohJc2Cof,1,159.00,Mon Mar 20 2017 08:31:51 GMT-0600 (MDT),vSePaNpDrZHJCmGrA,1042,0,multipleChoice,R Package Discovery,FGZqTL7vpaaCgpWCM
Ts34FTk4d3ykXMx4Y,How do you currently discover and learn about R packages?,"Email lists such as r-help, r-packages, or r-pkg-devel",x9GNqPXecohJc2Cof,1,159.00,Mon Mar 20 2017 08:51:19 GMT-0600 (MDT),vSePaNpDrZHJCmGrA,1042,0,multipleChoice,R Package Discovery,FGZqTL7vpaaCgpWCM
LqrqBphFvdbh7dTfb,How do you currently discover and learn about R packages?,"Email lists such as r-help, r-packages, or r-pkg-devel",x9GNqPXecohJc2Cof,1,159.00,Mon Mar 20 2017 09:03:17 GMT-0600 (MDT),vSePaNpDrZHJCmGrA,1042,0,multipleChoice,R Package Discovery,FGZqTL7vpaaCgpWCM
BKuDGFmBvAvpLMnHt,How do you currently discover and learn about R packages?,"Email lists such as r-help, r-packages, or r-pkg-devel",x9GNqPXecohJc2Cof,1,159.00,Mon Mar 20 2017 09:12:20 GMT-0600 (MDT),vSePaNpDrZHJCmGrA,1042,0,multipleChoice,R Package Discovery,FGZqTL7vpaaCgpWCM
F3szfMRiwN57oieFr,How do you currently discover and learn about R packages?,"Email lists such as r-help, r-packages, or r-pkg-devel",x9GNqPXecohJc2Cof,1,159.00,Mon Mar 20 2017 09:32:37 GMT-0600 (MDT),vSePaNpDrZHJCmGrA,1042,0,multipleChoice,R Package Discovery,FGZqTL7vpaaCgpWCM
8oWvvXkepReSvh2hx,How do you currently discover and learn about R packages?,"Email lists such as r-help, r-packages, or r-pkg-devel",x9GNqPXecohJc2Cof,1,159.00,Mon Mar 20 2017 09:37:05 GMT-0600 (MDT),vSePaNpDrZHJCmGrA,1042,0,multipleChoice,R Package Discovery,FGZqTL7vpaaCgpWCM
tLnysNhzYH3jojqTd,How do you currently discover and learn about R packages?,"Email lists such as r-help, r-packages, or r-pkg-devel",x9GNqPXecohJc2Cof,1,159.00,Mon Mar 20 2017 09:38:10 GMT-0600 (MDT),vSePaNpDrZHJCmGrA,1042,0,multipleChoice,R Package Discovery,FGZqTL7vpaaCgpWCM
hcNSSwTDb8hcqC34A,How do you currently discover and learn about R packages?,"Email lists such as r-help, r-packages, or r-pkg-devel",x9GNqPXecohJc2Cof,1,159.00,Mon Mar 20 2017 10:19:12 GMT-0600 (MDT),vSePaNpDrZHJCmGrA,1042,0,multipleChoice,R Package Discovery,FGZqTL7vpaaCgpWCM
Ay7PuB3BRonrebbH4,How do you currently discover and learn about R packages?,"Email lists such as r-help, r-packages, or r-pkg-devel",x9GNqPXecohJc2Cof,1,159.00,Mon Mar 20 2017 10:22:20 GMT-0600 (MDT),vSePaNpDrZHJCmGrA,1042,0,multipleChoice,R Package Discovery,FGZqTL7vpaaCgpWCM
8jzsAE2ivWPa43KRR,How do you currently discover and learn about R packages?,"Email lists such as r-help, r-packages, or r-pkg-devel",x9GNqPXecohJc2Cof,1,159.00,Mon Mar 20 2017 10:29:44 GMT-0600 (MDT),vSePaNpDrZHJCmGrA,1042,0,multipleChoice,R Package Discovery,FGZqTL7vpaaCgpWCM
s4q5RS6ba87Nx5RyM,How do you currently discover and learn about R packages?,"Email lists such as r-help, r-packages, or r-pkg-devel",x9GNqPXecohJc2Cof,1,159.00,Mon Mar 20 2017 10:30:14 GMT-0600 (MDT),vSePaNpDrZHJCmGrA,1042,0,multipleChoice,R Package Discovery,FGZqTL7vpaaCgpWCM
2AtkJsQ7zezmJCZMZ,How do you currently discover and learn about R packages?,"Email lists such as r-help, r-packages, or r-pkg-devel",x9GNqPXecohJc2Cof,1,159.00,Mon Mar 20 2017 10:30:20 GMT-0600 (MDT),vSePaNpDrZHJCmGrA,1042,0,multipleChoice,R Package Discovery,FGZqTL7vpaaCgpWCM
LFtrAptzTxtBB9CtS,How do you currently discover and learn about R packages?,"Email lists such as r-help, r-packages, or r-pkg-devel",x9GNqPXecohJc2Cof,1,159.00,Mon Mar 20 2017 10:36:57 GMT-0600 (MDT),vSePaNpDrZHJCmGrA,1042,0,multipleChoice,R Package Discovery,FGZqTL7vpaaCgpWCM
hF6Jch3vdQhsE4iNF,How do you currently discover and learn about R packages?,"Email lists such as r-help, r-packages, or r-pkg-devel",x9GNqPXecohJc2Cof,1,159.00,Mon Mar 20 2017 10:45:07 GMT-0600 (MDT),vSePaNpDrZHJCmGrA,1042,0,multipleChoice,R Package Discovery,FGZqTL7vpaaCgpWCM
KQg5y9y3btDCGKxq3,How do you currently discover and learn about R packages?,"Email lists such as r-help, r-packages, or r-pkg-devel",x9GNqPXecohJc2Cof,1,159.00,Mon Mar 20 2017 10:58:55 GMT-0600 (MDT),vSePaNpDrZHJCmGrA,1042,0,multipleChoice,R Package Discovery,FGZqTL7vpaaCgpWCM
K6W49sDdErs8XLPgC,How do you currently discover and learn about R packages?,"Email lists such as r-help, r-packages, or r-pkg-devel",x9GNqPXecohJc2Cof,1,159.00,Mon Mar 20 2017 10:59:14 GMT-0600 (MDT),vSePaNpDrZHJCmGrA,1042,0,multipleChoice,R Package Discovery,FGZqTL7vpaaCgpWCM
RwhFFSGPCfDaxtkdG,How do you currently discover and learn about R packages?,"Email lists such as r-help, r-packages, or r-pkg-devel",x9GNqPXecohJc2Cof,1,159.00,Mon Mar 20 2017 11:15:52 GMT-0600 (MDT),vSePaNpDrZHJCmGrA,1042,0,multipleChoice,R Package Discovery,FGZqTL7vpaaCgpWCM
